 13.939 -20.453 1.33e-13 1.09e-13 8.00e-14   0.058    0.01
 23.677  -3.563 1.69e-17 1.37e-17 1.12e-17  -0.000    0.57
 23.712  -3.663 9.02e-17 6.79e-17 3.89e-17   0.000    0.56
 23.651  -3.146 4.78e-16 2.88e-16 1.69e-16  -0.001    0.59
 23.594  -3.153 5.68e-16 3.34e-16 1.71e-16   0.001    0.45
 23.697  -3.680 1.03e-15 5.67e-16 2.89e-16  -0.001    0.44
 23.908  -3.568 9.46e-16 5.20e-16 2.80e-16  -0.001   -0.34
 23.778  -3.167 3.25e-14 5.09e-14 6.09e-14  -0.000    0.41
 23.869  -3.444 3.26e-15 1.69e-15 7.81e-16   0.002    0.05
 23.781  -3.443 3.14e-16 1.92e-16 1.05e-16   0.001   -0.13
 23.833  -3.357 4.73e-14 2.44e-14 1.08e-14   0.002   -3.98
 23.752  -3.370 6.30e-16 3.86e-16 1.87e-16  -0.000   -3.36
 23.887  -3.168 1.09e-17 1.05e-17 7.92e-18  -0.001   -0.47
 23.906  -3.499 9.48e-16 5.35e-16 2.94e-16  -0.000   -3.90
 23.953  -3.129 9.76e-17 6.72e-17 4.20e-17   0.001   -0.18
 23.949  -3.525 7.76e-16 4.61e-16 2.32e-16  -0.000   -2.84
 23.914  -3.299 1.08e-15 5.91e-16 2.96e-16   0.003   -0.64
 23.996  -3.709 5.45e-15 2.91e-15 1.29e-15  -0.000    0.35
 23.940  -3.688 1.04e-16 7.55e-17 4.36e-17   0.001   -1.34
 23.929  -4.439 1.78e-15 9.57e-16 4.55e-16   0.003    0.48
 23.954  -3.660 1.37e-17 1.19e-17 9.13e-18   0.001   -2.21
 24.084  -2.950 4.05e-17 3.20e-17 2.19e-17   0.000    0.34
 23.968  -2.706 5.59e-16 3.40e-16 1.88e-16  -0.001    0.35
 23.941  -3.769 5.66e-16 3.63e-16 1.79e-16   0.001   -2.45
 24.068  -1.613 5.09e-17 3.94e-17 2.85e-17   0.002    0.60
 23.852  -2.851 2.62e-17 2.27e-17 1.74e-17   0.001    0.41
 24.061  -4.000 4.38e-17 3.56e-17 2.25e-17  -0.000   -1.42
 24.103  -3.487 5.66e-17 4.07e-17 2.62e-17   0.003   -1.22
 24.189  -3.376 2.12e-14 3.90e-14 5.04e-14  -0.001   -2.21
 24.230  -4.217 8.71e-14 7.84e-14 5.75e-14   0.002    0.18
 24.247  -4.167 3.93e-17 3.03e-17 1.93e-17   0.000    0.27
 24.359  -3.318 1.11e-16 7.30e-17 4.70e-17   0.002   -1.75
 24.516  -3.659 2.88e-15 1.54e-15 6.84e-16   0.002   -1.48
 24.485  -3.218 1.46e-17 1.37e-17 1.01e-17   0.001   -0.82
 24.510  -3.875 3.42e-15 1.87e-15 8.60e-16   0.001   -0.18
 24.457  -3.681 5.19e-16 3.20e-16 1.70e-16   0.002   -0.39
 24.360  -2.996 6.76e-15 3.34e-15 1.49e-15   0.001   -0.26
 24.400  -4.107 6.81e-17 5.19e-17 3.28e-17   0.001   -0.11
 24.613  -2.648 2.04e-15 1.09e-15 5.08e-16   0.001   -0.08
 24.539  -3.327 9.56e-16 5.47e-16 2.65e-16  -0.000   -1.41
 24.436  -3.515 6.09e-14 3.32e-14 1.67e-14   0.002   -1.37
 24.744  -3.272 7.15e-16 4.22e-16 2.19e-16   0.001   -1.31
 24.635  -3.278 3.95e-16 2.58e-16 1.42e-16   0.002   -0.93
 24.751  -3.106 3.53e-16 2.23e-16 1.26e-16   0.001   -0.55
 24.788  -3.377 5.53e-15 2.79e-15 1.29e-15   0.003    0.05
 24.946  -3.501 2.16e-15 1.12e-15 5.37e-16   0.001   -0.02
 25.076  -3.712 3.92e-15 2.10e-15 9.07e-16   0.001   -1.00
 25.196  -3.548 5.31e-14 2.89e-14 1.32e-14   0.001   -0.96
 25.223  -2.330 1.02e-13 6.35e-14 3.54e-14   0.000    0.25
 25.377  -4.187 3.17e-15 1.72e-15 7.79e-16   0.000   -0.10
 25.290  -3.533 7.25e-17 5.61e-17 3.49e-17   0.000   -0.55
 25.466  -2.926 2.33e-15 1.31e-15 5.97e-16   0.000   -0.21
 25.605  -4.070 9.03e-17 6.57e-17 4.13e-17   0.001   -0.16
 25.788  -3.232 1.01e-15 6.20e-16 2.90e-16   0.001   -0.75
 25.850  -1.924 1.11e-16 7.75e-17 4.82e-17  -0.001    0.26
 25.983  -3.572 4.01e-17 3.31e-17 2.07e-17   0.002   -0.54
 26.643  -1.596 3.90e-17 3.24e-17 2.21e-17   0.000    0.35
 26.655  -4.182 2.49e-16 1.62e-16 9.21e-17   0.001   -0.25
 26.958  -4.404 1.81e-16 1.16e-16 7.16e-17   0.000   -0.23
 27.226  -5.156 2.89e-16 1.79e-16 9.57e-17   0.000    0.17
 27.286  -3.254 8.89e-16 5.07e-16 2.63e-16   0.002   -0.40
 27.429  -2.384 1.43e-16 9.88e-17 6.04e-17  -0.000    0.03
 27.640  -3.663 4.02e-16 2.63e-16 1.41e-16   0.000   -0.35
 27.691  -3.371 6.94e-16 3.75e-16 2.14e-16   0.001   -0.28
 27.967  -3.304 1.30e-17 1.25e-17 9.25e-18   0.001   -0.16
 29.353  -4.426 1.71e-16 1.16e-16 6.76e-17   0.002   -0.04
 29.264  -4.009 1.70e-16 1.17e-16 6.44e-17   0.002   -0.03
 29.742  -3.770 2.64e-15 1.45e-15 6.75e-16   0.001   -0.13
 32.126  -4.018 1.79e-16 1.28e-16 7.27e-17   0.001    0.04
 32.788  -5.350 1.71e-17 1.55e-17 1.02e-17   0.001    0.29
